Database,Record Type,Element Number,Value,Percentage,Lower Bound,Upper Bound
SDB,1,DE1001,A,0.03580834,0.01853731,0.03048895
SDB,1,DE1001,C,0.9149913,0.9230895,0.9426455
SDB,1,DE1001,P,0.04682382,0.03458055,0.04634782
SDB,1,DE1002,A,0.001669985,0,0.001403512
SDB,1,DE1002,B,0.000995568,0,0.00098283
SDB,1,DE1002,O,0.000192691,0,0.000105461
SDB,1,DE1002,S,0.000289036,0,0.00022923
ADB,1,DE1004,D,0.1050903,0.07076406,0.09370547
SDB,1,DE1006,X,0.006968977,0,0.005028864
PDB,1,DE1009,22,0.03432701,0.01639372,0.02397985
PDB,1,DE1009,24,0.06413731,0.02877642,0.05648628
PDB,1,DE1009,25,0.2990063,0.4072236,0.4527053
PDB,1,DE1009,29,0,0.000305848,0.000818446
PDB,1,DE1009,30,0.01761518,0.008430191,0.01375184
PDB,1,DE1009,31,0.009485095,0.00624383,0.009092009
PDB,1,DE1009,32,0.08852755,0.04350349,0.06043641
PDB,1,DE1009,34,0.04787714,0.03750511,0.04175092
PDB,1,DE1009,37,0.06368563,0.04372092,0.05469511
PDB,1,DE1009,38,0.002710027,0.001408435,0.00261943
SDB,1,DE1013,Y,0.0740253,0.03715204,0.07094527
SDB,1,DE1013,Z,0.9259747,0.9290547,0.9628479
PDB,1,DE1015,F,0.5925926,0.5518538,0.5900757
PDB,1,DE1015,M,0.4069557,0.4099243,0.4481461
PDB,1,DE1015,X,0.000451671,0,0
ADB,1,DE1020,L,0.000547345,0,0
ADB,1,DE1020,X,0.001094691,0,0
PDB,1,DE1025,X,0.000451671,0,0
ADB,1,DE1028,Y,0.009852217,0.001083704,0.009598794
SDB,1,DE1029,F,0.231582,0,0
SDB,1,DE1029,P,0.7323849,0,0
SDB,1,DE1029,Z,0.03603314,0,0
ADB,1,DE1030,N,0.06458675,0,0.03974532
ADB,1,DE1030,X,0.8823208,0.9061285,0.993384
SDB,1,DE1033,AF,0.002183827,0.000144568,0.001642332
SDB,1,DE1033,AL,0.003243625,0.001565351,0.002964342
SDB,1,DE1033,BN,3.21E-05,0,3.09E-05
SDB,1,DE1033,BR,0.003115165,0,0.002571105
SDB,1,DE1033,CH,0.001605755,0,0.001470922
SDB,1,DE1033,CO,0.005042071,0.002936536,0.004572858
SDB,1,DE1033,CU,0.005716488,0.002706745,0.005160294
SDB,1,DE1033,EC,0.000834993,0.000179242,0.0007417
SDB,1,DE1033,EG,0.000545957,0,0.000485339
SDB,1,DE1033,ES,0.000963453,0,0.000713624
SDB,1,DE1033,GG,9.63E-05,0,9.28E-05
SDB,1,DE1033,GM,0.000674417,0,0.000626252
SDB,1,DE1033,GT,0.000610187,0.000185469,0.00036244
SDB,1,DE1033,HO,0.002344402,0,0.001109069
SDB,1,DE1033,IT,0.000545957,0,0.000426975
SDB,1,DE1033,JO,0.000481727,4.59E-05,0.000438327
SDB,1,DE1033,KR,0.000224806,0,2.97E-05
SDB,1,DE1033,LY,6.42E-05,0,3.73E-05
SDB,1,DE1033,MC,3.21E-05,0,2.23E-05
SDB,1,DE1033,MJ,3.21E-05,0,2.67E-05
SDB,1,DE1033,MX,0.003018819,0.000220349,0.002333836
SDB,1,DE1033,NZ,6.42E-05,0,6.14E-05
SDB,1,DE1033,PO,9.63E-05,0,8.20E-05
SDB,1,DE1033,RN,3.21E-05,0,3.09E-05
SDB,1,DE1033,SW,6.42E-05,0,4.45E-05
SDB,1,DE1033,SY,0.00157364,0.000438543,0.001392874
SDB,1,DE1033,SZ,0.000192691,0,0.000141215
SDB,1,DE1033,TH,0.000642302,0.000198763,0.000641485
SDB,1,DE1033,TS,6.42E-05,0,3.06E-05
SDB,1,DE1033,UG,0,8.84E-06,0.000127863
SDB,1,DE1033,US,0.914349,0.9218707,0.9414865
SDB,1,DE1033,VE,0.004142848,0.000259569,0.001880055
PDB,1,DE1035,1,0.09575429,0.09933002,0.1309859
PDB,1,DE1035,2,0.000451671,0.001673209,0.01290385
PDB,1,DE1035,3,0.2380307,0.2987628,0.3209472
PDB,1,DE1035,5,0.1025294,0.08495979,0.09998964
PDB,1,DE1035,6,0.005420054,0,0.000479842
PDB,1,DE1035,7,0,0.06498015,0.09774047
PDB,1,DE1035,8,0.3861789,0.1957418,0.2629491
PDB,1,DE1045,1,0.1093044,0.06198809,0.08089638
PDB,1,DE1045,4,0.8373984,0.8630058,0.8768724
SDB,1,DE1047,C,0.01711735,0.000890964,0.01481182
SDB,1,DE1048,N,0.04447941,0.01062255,0.04246792
SDB,1,DE1048,X,3.21E-05,0,0
SDB,1,DE1049,S,0.3932173,0.2781571,0.3793793
SDB,1,DE1049,U,0.01718158,0.0205835,0.02857332
SDB,1,DE1049,Z,0.587899,0.5902572,0.6996258
SDB,1,DE1050,D,0.05122358,0.05634839,0.09137615
SDB,1,DE1050,N,0.3541974,0.3605779,0.4247896
SDB,1,DE1050,X,0.35044,0.3253581,0.3302324
SDB,1,DE1051,W,0.6386088,0.6589915,0.6632569
SDB,1,DE1051,X,0.35044,0.3253581,0.3302324
SDB,1,DE1052,N,0.00780397,0.00506282,0.006195108
PDB,1,DE1055,1,0.6174345,0.43391,0.5243462
PDB,1,DE1055,2,0.1160795,0.08667313,0.0931854
PDB,1,DE1055,4,0.266486,0.3764952,0.4754818
PDB,1,DE1060,N,0.99729,0.9978871,0.9992168
PDB,1,DE1060,Y,0.002710027,0.000783151,0.002112862
PDB,1,DE1065,N,0.7380307,0.5472947,0.5927764
PDB,1,DE1065,Y,0.2619693,0.4072236,0.4527053
PDB,1,DE1070,N,0.2999097,0.2808422,0.2975424
PDB,1,DE1070,X,0.03929539,0.01830871,0.02342189
PDB,1,DE1070,Y,0.6607949,0.6833798,0.696505
PDB,1,DE1075,N,0.6897019,0.6910121,0.7302598
PDB,1,DE1075,X,0.03929539,0.01830871,0.02342189
PDB,1,DE1080,N,0.9177958,0.9299972,0.9663061
PDB,1,DE1080,X,0.03929539,0.01830871,0.02342189
PDB,1,DE1085,N,0.936766,0.9519613,0.9585887
PDB,1,DE1085,X,0.03929539,0.01830871,0.02342189
PDB,1,DE1090,N,0.9570912,0.9724274,0.9779247
PDB,1,DE1090,X,0.03929539,0.01830871,0.02342189
PDB,1,DE1095,N,0.9123758,0.9490657,0.973949
PDB,1,DE1095,X,0.03523035,0,0
PDB,1,DE1095,Y,0.05239386,0.02605104,0.05093424
PDB,1,DE1096,I,0.006775068,0.01345834,0.01548477
PDB,1,DE1096,N,0.9507678,0.9610147,0.9722798
PDB,1,DE1096,P,0.03839205,0.01005819,0.01771729
SDB,2,DE1102,L,0.8389773,0.7353157,0.8389273
SDB,2,DE1102,N,0.1610227,0.1611029,0.2644548
PDB,2,DE2005,22,0.03252711,0.01350757,0.02352756
PDB,2,DE2005,23,0.03211009,0.0276828,0.03110954
PDB,2,DE2005,24,0.05963303,0.02822572,0.05164668
PDB,2,DE2005,25,0.3298582,0.447964,0.4906638
PDB,2,DE2005,29,0,0.000269079,0.000711195
PDB,2,DE2005,30,0.01918265,0.007948985,0.01240327
PDB,2,DE2005,31,0.009174312,0.005796014,0.007860899
PDB,2,DE2005,32,0.08882402,0.04536243,0.05853572
PDB,2,DE2005,34,0.04503753,0.03288784,0.03716093
PDB,2,DE2030,1,0,0.1108485,0.1571713
PDB,2,DE2030,2,0,0.00013068,0.000569461
PDB,2,DE2030,5,0,0.276869,0.3115771
PDB,2,DE2030,7,0,0.02306758,0.03417772
PDB,2,DE2030,9,1,0.5103177,0.5530259
PDB,2,DE2040,N,0.8457047,1,1
PDB,2,DE2040,Y,0.1542953,0,0
PDB,2,DE2050,2,0.02335279,0.01173423,0.01498351
PDB,2,DE2050,3,0.006255213,0,0.004150515
PDB,2,DE2050,7,0.9620517,0.9745813,0.9797698
SDB,3,DE1201,C,0.01247772,0,0
SDB,3,DE1201,S,0.9875223,1,1
SDB,3,DE1204,A,0.07624114,0.08477731,0.4974693
SDB,3,DE1204,B,0.248227,0.3602321,0.6836714
SDB,3,DE1204,J,0.04432624,0,0.0141303
SDB,3,DE1204,K,0.02304965,0,0
SDB,3,DE1204,L,0.4042553,0,0.02735242
PDB,3,DE3020,N,1,0.7656633,0.8847505
PDB,3,DE3020,Y,0,0.1152495,0.2343367
SDB,4,DE2001,3,0.1106791,0,0.0765723
SDB,4,DE2001,P,0.000170276,0.001089528,0.005864155
SDB,4,DE2001,T,0.000794619,0,0.000163832
SDB,4,DE2005,5,0.003519028,0,0.002968272
SDB,4,DE2005,8,0.1106791,0,0.07591289
SDB,4,DE2005,P,0.000170276,0.001089528,0.005864155
SDB,4,DE2005,T,0.000794619,0,0.000125527
SDB,4,DE2009,N,0.9967648,0.9971607,1.00061
SDB,4,DE2009,Y,0.003235236,0,0.002839253
SDB,4,DE2013,N,0.06714533,0.02611113,0.06141527
SDB,4,DE2013,Z,0.9127054,0.9214286,0.9510647
PDB,4,DE4015,F,0.05694024,0.05119561,0.05621748
PDB,4,DE4015,M,0.1453749,0.1535527,0.17868
PDB,4,DE4015,O,0.264574,0.1816017,0.2458341
PDB,4,DE4015,T,0.1759308,0.1815608,0.1964292
PDB,4,DE4015,W,0.1702993,0.1733879,0.1871873
PDB,4,DE4015,X,0.00135572,0.001417007,0.004172923
PDB,4,DE4060,R,0.000625717,0.002260138,0.003901511
PDB,4,DE4065,C,0,0.7076519,0.7459501
PDB,4,DE4065,D,0,0.0696643,0.1243847
PDB,4,DE4070,I,0,0.2540498,0.2923481
PDB,4,DE4070,N,0.6794243,0.7076519,0.7459501
PDB,4,DE4071,P,0.04380019,0.04842979,0.07059001
PDB,4,DE4071,Z,0.9561998,0.9278435,0.9516904
PDB,4,DE4072,N,0.04380019,0.04842979,0.07059001
PDB,4,DE4072,Z,0.9561998,0.9278435,0.9516904
PDB,4,DE4073,Y,0.04380019,0.04842979,0.07059001
PDB,4,DE4073,Z,0.9561998,0.9278435,0.9516904
PDB,4,DE4074,N,0.04380019,0.04830962,0.07215658
PDB,4,DE4074,Z,0.9561998,0.9278435,0.9516904
PDB,4,DE4075,N,0.04380019,0,0
PDB,4,DE4075,Z,0.9561998,1,1
SDB,5,DE2103,5,0.000780518,0,0.000448715
