Database,Record Type,Term,Submission Type,Data Element,Value,Percentage of Submission,Count
SDB,1,307,E,DE1001-CITIZENSHIP,A,0.02216833,905
SDB,1,309,E,DE1001-CITIZENSHIP,A,0.02749932,1218
SDB,1,213,B,DE1001-CITIZENSHIP,A,0.01987962,611
SDB,1,110,E,DE1001-CITIZENSHIP,A,0.02669214,1034
SDB,1,314,B,DE1001-CITIZENSHIP,A,0.01935309,572
SDB,1,107,E,DE1001-CITIZENSHIP,A,0.02746234,844
SDB,1,213,E,DE1001-CITIZENSHIP,A,0.0213519,730
SDB,1,308,E,DE1001-CITIZENSHIP,A,0.02674863,1140
SDB,1,316,B,DE1001-CITIZENSHIP,A,0.0310096,911
SDB,1,109,E,DE1001-CITIZENSHIP,A,0.03405664,1265
SDB,1,111,E,DE1001-CITIZENSHIP,A,0.02844043,887
SDB,1,113,E,DE1001-CITIZENSHIP,A,0.02274766,558
SDB,1,116,E,DE1001-CITIZENSHIP,A,0.03846154,853
SDB,1,108,E,DE1001-CITIZENSHIP,A,0.02794972,876
SDB,1,114,E,DE1001-CITIZENSHIP,A,0.02395182,521
SDB,1,206,E,DE1001-CITIZENSHIP,A,0.02070033,762
SDB,1,114,B,DE1001-CITIZENSHIP,A,0.02414923,501
SDB,1,212,E,DE1001-CITIZENSHIP,A,0.01961672,693
SDB,1,214,E,DE1001-CITIZENSHIP,A,0.02579798,864
SDB,1,215,E,DE1001-CITIZENSHIP,A,0.02889327,908
SDB,1,315,B,DE1001-CITIZENSHIP,A,0.02469055,750
SDB,1,209,E,DE1001-CITIZENSHIP,A,0.02430156,1076
SDB,1,210,E,DE1001-CITIZENSHIP,A,0.0283091,1184
SDB,1,211,E,DE1001-CITIZENSHIP,A,0.02408917,966
SDB,1,314,E,DE1001-CITIZENSHIP,A,0.0205193,682
SDB,1,207,E,DE1001-CITIZENSHIP,A,0.02545937,1114
SDB,1,312,E,DE1001-CITIZENSHIP,A,0.02229008,854
SDB,1,315,E,DE1001-CITIZENSHIP,A,0.02619629,848
SDB,1,106,E,DE1001-CITIZENSHIP,A,0.02533084,691
SDB,1,115,E,DE1001-CITIZENSHIP,A,0.03113724,699
SDB,1,208,E,DE1001-CITIZENSHIP,A,0.02661189,1166
SDB,1,310,E,DE1001-CITIZENSHIP,A,0.02269986,1148
SDB,1,313,E,DE1001-CITIZENSHIP,A,0.01972472,685
SDB,1,316,E,DE1001-CITIZENSHIP,A,0.03121626,983
